	log_lower	size
0	-307.6526555685888	112877967
1	-2.592393107770039	1
2	-2.5466908630872456	3
3	-2.4956073635069465	43
4	-2.4377041040508085	151
5	-2.3708754664857894	954
6	-2.2918594461858923	4049
7	-2.195196865798386	16838
8	-2.07066945062089	59435
9	-1.8953969689280927	94353
10	-1.6399838476439301	1
11	-1.5967955552142497	124746
12	-1.54910219255306	1
13	-1.4953319243579248	10
14	-1.433909157678431	87
15	-1.3622690186939936	289
16	-1.276274986369559	1207
17	-1.1747929113910316	1
18	-1.168568069464759	3405
19	-1.124951966796051	1
20	-1.0685537724734522	20
21	-1.0238542602555496	14449
22	-1.003570225272242	87
23	-0.9609688491777753	1
24	-0.9268264132258843	248
25	-0.914676336574749	4
26	-0.8627268176892062	7
27	-0.8328853573559447	771
28	-0.8034907812878449	22
29	-0.7992081838896898	33626
30	-0.7526535377312864	1
31	-0.7344747136804253	94
32	-0.7275338370567052	1
33	-0.7158422354984489	1
34	-0.7110001366661838	1927
35	-0.67321523946341	10
36	-0.6515231782730427	244
37	-0.6373176689020381	1
38	-0.6308287803682741	2
39	-0.6106352898773013	37
40	-0.5807280622181369	5
41	-0.5466815129529297	633
42	-0.5394531647190437	1
43	-0.5365155539845922	110
44	-0.5329626028536785	6356
45	-0.523547697916636	8
46	-0.5112976115630168	1
47	-0.45869285338364035	6
48	-0.45708516358387496	1
49	-0.45662913182773907	53
50	-0.4540138556374374	1
51	-0.4447036446634349	295
52	-0.4157057097871624	1
53	-0.4134940597126867	3
54	-0.4083978683900117	5
55	-0.3997766460022342	1393
56	-0.3977365802923451	23
57	-0.38940696265548597	1
58	-0.37504165052508665	118
59	-0.3681935473433945	4
60	-0.35244913605380623	11
61	-0.34758721381973656	1
62	-0.3352873505597286	1
63	-0.33222447145808165	1
64	-0.324362304328587	60
65	-0.31984638972483087	608
66	-0.31650463230135606	10
67	-0.3078388493121382	2
68	-0.28726343373810653	3
69	-0.2858063784274352	20
70	-0.2845831168833185	2
71	-0.2665521620969097	212
72	-0.2629998490798193	2
73	-0.25547413258447343	12
74	-0.2490819549733244	1
75	-0.24253643010670067	4
76	-0.23098078806066796	6
77	-0.22848136735039123	94
78	-0.22504145352949892	2
79	-0.21709161870296317	1
80	-0.2107844440496933	5
81	-0.2107293590363267	1
82	-0.19992641434559583	40
83	-0.1967471598436948	1
84	-0.19384323701924092	1
85	-0.17942750892535908	1
86	-0.17771592891929616	17
87	-0.15994687297243917	10
88	-0.1562038170840868	2
89	-0.1454081190346014	4
90	-0.1332921947459187	1
91	-0.12304005061397055	2
92	-0.08886487876078118	1
