	log_upper	size
0	-5.50431725040663	6
1	-5.460882233825506	64
2	-5.412620416893204	378
3	-5.358324906214745	2313
4	-5.296271473704117	13093
5	-5.223873593180696	101283
6	-5.1369924252637995	891067
7	-5.028384007549761	8935939
8	-4.883557325760567	40602024
9	-4.66627095574709	62331800
10	-0.5101689090272	1
11	-0.47274256061449027	3
12	-0.4319191884733257	43
13	-0.38706948120496754	151
14	-0.3839710519796468	1
15	-0.33740482218747114	954
16	-0.31620530310016864	1
17	-0.2819585525685683	4049
18	-0.27830010797644567	10
19	-0.25464214436947225	1
20	-0.23724477096438423	87
21	-0.2215778022251307	1
22	-0.21965375724471398	16838
23	-0.2146929087910026	1
24	-0.1927114050401028	289
25	-0.18789654140630418	1
26	-0.18631892156411778	20
27	-0.1852945965122277	4
28	-0.1646920668181136	1
29	-0.1543141628006512	7
30	-0.14977685127986085	59435
31	-0.1488123092218801	87
32	-0.14779598873799746	1
33	-0.14458043054242317	1207
34	-0.13204368772676553	1
35	-0.12183133576431285	22
36	-0.11555090586436986	2
37	-0.11363059066972565	1
38	-0.1092817742905041	248
39	-0.10336238635048883	10
40	-0.09350626913137226	3405
41	-0.0921000287675505	1
42	-0.08985764401141111	5
43	-0.0882051641315724	94
44	-0.08432452342613532	1
45	-0.07952505973030649	1
46	-0.07739988415002247	1
47	-0.07440490663704873	94353
48	-0.07407204514829505	37
49	-0.07135167183961076	1
50	-0.06871225606271035	771
51	-0.06471822960142785	3
52	-0.06389710872085326	8
53	-0.0621454785146752	1
54	-0.05891906451864462	1
55	-0.0562064858129175	6
56	-0.054595314228076314	1
57	-0.05447392819216473	244
58	-0.05018248002944377	5
59	-0.04533292457230157	4
60	-0.04517660631114016	110
61	-0.042844906121570624	14449
62	-0.04225684948073683	1
63	-0.041343063980324175	1
64	-0.04080343714916954	1
65	-0.039287268926220226	1
66	-0.03861177103383715	53
67	-0.03800188569334409	2
68	-0.03516247432447301	2
69	-0.03372290577299204	23
70	-0.03027703254763016	1927
71	-0.029938178515051962	11
72	-0.026920206342468077	10
73	-0.024456743499550963	3
74	-0.023447087201934304	633
75	-0.022407450897563717	2
76	-0.0206757604768069	4
77	-0.019193014368309308	2
78	-0.019142458459291776	295
79	-0.016177457825703345	118
80	-0.01400967053560333	60
81	-0.012355153269101622	20
82	-0.01105067033859182	12
83	-0.010860700533810726	124746
84	-0.009995645009328815	6
85	-0.009124699961831918	5
86	-0.008393485607151023	1
87	-0.007770849508649974	1
88	-0.0067670354335345176	2
89	-0.005434682976340342	33626
90	-0.0036240122958929107	6356
91	-0.002718331694410742	1393
92	-0.0021748171238165272	608
93	-0.0018124308547031649	212
94	-0.001553562681053964	94
95	-0.001359400282989766	40
96	-0.0012083784639475967	17
97	-0.0010875568654400097	10
98	-0.0009887001055410838	4
99	-0.0009063176072182602	1
100	-0.0008366080199370101	2
101	-0.0006042340428414986	1
